"NUTS 3","Urban Code","Country","City","City code","GDP","Employment","Population (1-5)","Population (XXL - S-M)","Capital","Reason chosen","Cultural Vibrancy","Creative economy","Enabling environment","Overall","D1.1 Cultural Venues & Facilities","D1.2 Cultural Participation & Attractiveness","D2.1 Creative & Knowledge-based Jobs","D2.2 Intellectual Property & Innovation","D2.3 New Jobs in Creative Sectors","D3.1 Human Capital & Education","D3.2 Openness, Tolerance & Trust ","D3.3 Local & International Connections","D3.4 Quality of Governance"
"AT130","AT001C1","AT","Vienna","1","1","3","1","XXL","Yes","At least two international cultural festivals","37.86","28.78","43.22","35.3","31.40","44.31","27.97","23.31","32.34","36.91","48.02","38.23","70.29"
"AT221","AT002C1","AT","Graz","2","2","2","3","L","No","European Capital of Culture","30.32","29.3","40.23","31.89","23.66","36.99","28.82","45.41","21.73","25.81","53.89","29.13","79.57"
"AT312","AT003C1","AT","Linz","3","1","1","4","S-M","No","European Capital of Culture","52.74","39.87","37.64","44.57","54.26","51.21","63.50","39.16","16.60","17.01","51.77","40.05","82.33"
"BE100","BE001C1","BE","Brussels","4","1","4","1","XXL","Yes","European Capital of Culture","26.27","49.03","28.6","35.84","30.54","22.00","37.16","18.49","76.17","15.63","29.20","49.73","64.23"
"BE211","BE002C1","BE","Antwerp","5","1","3","2","XL","No","European Capital of Culture","28.18","25.78","32.34","28.05","21.80","34.56","26.63","27.83","23.90","16.82","29.14","63.12","89.83"
"BE234","BE003C1","BE","Ghent","6","2","1","3","L","No","UNESCO Creative City","45.55","18.68","35.99","32.89","55.85","35.24","28.51","28.66","3.87","38.12","18.92","57.89","89.83"
"BE242","BE008C1","BE","Leuven","7","2","4","5","S-M","No","At least two international cultural festivals","23.93","40.13","53.52","36.33","25.03","22.83","40.25","59.64","30.25","74.10","21.40","72.17","89.83"
"BE251","BE006C1","BE","Bruges","8","2","2","4","S-M","No","European Capital of Culture","44.33","15.54","19.84","27.92","39.76","48.90","21.29","14.04","10.53","0.73","15.49","59.08","89.83"
"BE255","BE011C1","BE","Ostend","9","3","5","5","S-M","No","At least two international cultural festivals","31.7","14.74","33.41","25.26","23.81","39.59","15.77","8.22","16.98","28.16","24.98","51.11","89.83"
"BE323","BE009C1","BE","Mons","10","4","5","5","S-M","No","European Capital of Culture","38.96","20.39","26.08","28.96","36.77","41.15","19.54","9.18","26.83","10.28","26.47","54.74","63.29"
"BE332","BE005C1","BE","Liège","11","4","5","3","L","No","At least two international cultural festivals","20.52","22.37","31.23","23.4","23.93","17.11","16.19","13.45","33.00","34.01","14.89","56.73","63.29"
"BE352","BE007C1","BE","Namur","12","3","5","4","S-M","No","At least two international cultural festivals","34.51","16.88","25.3","25.62","32.85","36.17","23.21","9.73","14.11","12.10","20.28","61.20","63.29"
"BG321","BG017C1","BG","Veliko Turnovo","13","5","5","5","S-M","No","European Capital of Culture","23.76","9.46","19.52","17.19","21.27","26.26","12.66","5.37","8.32","22.17","15.12","21.47","27.68"
"BG331","BG003C1","BG","Varna","14","5","4","3","L","No","European Capital of Culture","18.06","17.52","12.6","16.75","9.72","26.41","15.20","6.29","25.44","6.25","10.27","20.94","57.06"
"BG411","BG001C1","BG","Sofia","15","3","2","1","XXL","Yes","European Capital of Culture","8.41","37.18","11.81","20.6","11.15","5.68","42.04","10.84","45.48","10.85","9.64","24.07","0.00"
"BG421","BG002C1","BG","Plovdiv","16","5","4","3","L","No","European Capital of Culture","11.33","12.41","16.36","12.77","8.11","14.54","12.11","13.53","12.15","17.39","10.29","22.57","38.03"
"CH013","CH002C1","CH","Geneva","17","1","5","4","S-M","No","At least two international cultural festivals","50.39","41.47","37.07","44.16","51.03","49.76","62.30","21.06","30.85","18.84","45.78","49.88","74.70"
"CH021","CH004C1","CH","Bern","18","1","1","4","S-M","Yes","At least two international cultural festivals","57.25","47.02","41.47","50","57.28","57.22","88.92","11.80","22.72","30.21","42.26","54.13","87.35"
"CH031","CH003C1","CH","Basel","19","1","3","4","S-M","No","At least two international cultural festivals","51.57","44.41","38.99","46.19","60.21","42.92","67.92","38.93","23.63","17.30","49.41","53.87","84.43"
"CH040","CH001C1","CH","Zurich","20","1","1","3","L","No","At least two international cultural festivals","42.09","64.98","46.29","52.09","37.51","46.67","97.49","46.14","41.88","40.88","46.47","51.22","73.31"
"CY000","CY001C1","CY","Nicosia","21","4","4","4","S-M","Yes","European Capital of Culture","32.13","13.53","21.31","22.53","52.30","11.97","12.93","9.45","16.17","13.42","31.30","1.21","64.88"
"CY000","CY501C1","CY","Limassol","22","4","4","4","S-M","No","At least two international cultural festivals","27.92","13.53","18.06","20.19","44.06","11.77","12.93","9.45","16.17","0.91","35.51","1.63","64.88"
"CZ010","CZ001C1","CZ","Prague","23","2","1","1","XXL","Yes","European Capital of Culture","43.49","41.13","23.4","38.53","55.80","31.18","38.89","18.21","54.85","14.18","24.30","36.06","51.90"
"CZ032","CZ004C1","CZ","Pilsen","24","5","1","4","S-M","No","European Capital of Culture","18","14.41","20.58","17.08","28.34","7.67","21.90","3.77","12.24","16.40","14.60","35.70","56.49"
"CZ041","CZ013C1","CZ","Karlovy Vary","25","5","5","5","S-M","No","At least two international cultural festivals","28.81","13.58","14.89","19.93","29.26","28.36","15.21","2.05","17.72","0.00","19.08","34.81","40.80"
"CZ064","CZ002C1","CZ","Brno","26","5","1","3","L","No","At least two international cultural festivals","17.09","14.86","19.86","16.75","20.51","13.66","14.31","11.49","17.10","11.06","19.42","31.79","58.11"
"CZ080","CZ003C1","CZ","Ostrava","27","5","3","3","L","No","European Capital of Culture","12.8","13.86","19.23","14.51","9.64","15.96","20.48","4.85","11.75","15.97","13.92","32.20","48.86"
"DE111","DE007C1","DE","Stuttgart","28","1","1","2","XL","No","At least two international cultural festivals","27.66","55.77","38.47","41.07","19.31","36.00","57.71","96.11","33.65","21.80","46.26","47.58","82.09"
"DE123","DE035C1","DE","Karlsruhe","29","1","1","3","L","No","At least two international cultural festivals","20.93","48.17","42.86","36.21","12.74","29.12","51.47","54.17","41.88","40.52","32.06","64.87","82.09"
"DE125","DE522C1","DE","Heidelberg","30","2","1","4","S-M","No","UNESCO Creative City","36.1","36.08","47.84","38.44","13.58","58.62","36.14","59.25","24.43","51.46","31.50","70.34","82.09"
"DE126","DE502C1","DE","Mannheim","31","1","1","3","L","No","UNESCO Creative City","20.85","39.8","35","31.26","13.17","28.53","38.15","38.93","41.88","13.12","36.66","73.22","82.09"
"DE212","DE003C1","DE","Munich","32","1","1","1","XXL","No","At least two international cultural festivals","26.79","54.09","46.03","41.56","12.74","40.85","56.55","89.79","33.78","29.97","56.51","48.38","83.57"
"DE254","DE014C1","DE","Nuremberg","33","1","1","3","L","No","At least two international cultural festivals","23.5","47.79","38.27","36.17","16.31","30.69","49.12","56.96","41.88","16.37","48.91","53.22","83.57"
"DE300","DE001C1","DE","Berlin","34","3","1","1","XXL","Yes","European Capital of Culture","28.16","40.81","34.75","34.54","17.01","39.31","39.47","26.49","49.32","32.63","30.03","41.10","70.39"
"DE600","DE002C1","DE","Hamburg","35","1","1","1","XXL","No","At least two international cultural festivals","19.81","37.13","33.58","29.49","13.01","26.60","43.94","30.21","33.78","13.76","45.63","39.78","77.19"
"DE712","DE005C1","DE","Frankfurt","36","1","1","2","XL","No","At least two international cultural festivals","25.99","44.93","41.59","36.69","17.39","34.59","60.60","36.15","33.65","20.73","49.40","63.98","78.88"
"DE92","DE013C1","DE","Hannover","37","2","1","2","XL","No","UNESCO Creative City","17.08","42.92","31.53","30.31","12.33","21.82","45.18","29.64","47.30","18.25","33.07","45.36","83.97"
"DEA13","DE006C1","DE","Essen","38","2","3","2","XL","No","European Capital of Culture","16.97","30.91","32.16","25.58","10.72","23.23","33.97","10.23","38.18","18.34","28.65","63.79","75.89"
"DEA23","DE004C1","DE","Cologne","39","1","1","1","XXL","No","At least two international cultural festivals","18.12","36.23","30.61","27.86","11.19","25.04","44.86","23.84","33.78","11.71","34.88","54.53","75.89"
"DEA51","DE015C1","DE","Bochum","40","2","3","3","L","No","At least two international cultural festivals","12.95","29.39","35.06","23.95","10.27","15.63","22.52","21.39","40.27","19.95","34.92","62.12","75.89"
"DED21","DE009C1","DE","Dresden","41","4","1","2","XL","No","At least two international cultural festivals","30.85","33.76","26.51","31.15","19.85","41.85","34.20","32.43","34.00","19.94","23.80","34.19","77.68"
"DEG05","DE030C1","DE","Weimar","42","3","3","5","S-M","No","European Capital of Culture","47.65","23.06","30.68","34.42","40.50","54.81","33.91","32.40","7.54","17.34","28.96","57.44","70.80"
